ID	AC	DE	GA	TP	ML	CL	NE	AC_version
Big_15	PF20622	Bacterial Ig domain (Big_16)	27; 27;	Domain	82	CL0159		PF20622.4
Big_2	PF02368	Bacterial Ig-like domain (group 2)	22.8; 22.8;	Domain	79	CL0159		PF02368.24
Big_3	PF07523	Bacterial Ig-like domain (group 3)	21.2; 21.2;	Domain	68	CL0159		PF07523.18
Big_3_2	PF12245	Bacterial Ig-like domain	23.3; 10;	Domain	122	CL0159		PF12245.14
Big_3_3	PF13750	Bacterial Ig-like domain (group 3)	27; 15.4;	Domain	157	CL0159		PF13750.12
Big_3_4	PF13754	Domain of unknown function	27.3; 27.3;	Domain	106	CL0159		PF13754.12
Big_3_5	PF16640	Bacterial Ig-like domain (group 3)	35.5; 35.5;	Domain	88	CL0159		PF16640.11
Big_4	PF07532	Bacterial Ig-like domain (group 4)	22.1; 22.1;	Domain	59	CL0159		PF07532.17
Big_5	PF13205	Bacterial Ig-like domain	23.6; 23.6;	Domain	105	CL0159		PF13205.12
Big_6	PF17936	Bacterial Ig domain	27.6; 27.6;	Domain	83	CL0159		PF17936.7
Big_7	PF17957	Bacterial Ig domain	24.1; 24.1;	Domain	70	CL0159		PF17957.7
Big_8	PF17961	Bacterial Ig domain	22.9; 22.9;	Domain	103	CL0159		PF17961.7
Big_9	PF17963	Bacterial Ig domain	23.6; 23.6;	Domain	89	CL0159		PF17963.7
BILBO1_N	PF18281	BILBO1 N-terminal domain	28.3; 28.3;	Domain	92	CL0072		PF18281.7
Bile_Hydr_Trans	PF04775	Acyl-CoA thioester hydrolase/BAAT N-terminal region	27; 27;	Family	126	CL0159		PF04775.20
BILF1	PF25732	Gammaherpesvirus G-protein coupled receptor	50; 50;	Domain	293	CL0192		PF25732.1
Biliv-reduc_cat	PF09166	Biliverdin reductase, catalytic	24.5; 24.5;	Domain	113	CL0139		PF09166.15
BIM1-like_dom	PF20238	Copper acquisition factor BIM1-like	27; 27;	Domain	140	CL0159		PF20238.4
Bim_N	PF06773	Bim protein N-terminus	27; 27;	Family	40			PF06773.16
Bin2_C	PF21532	Bridging integrator 2, C-terminal tail	27.4; 27.4;	Domain	266			PF21532.2
Bin3	PF06859	Bicoid-interacting protein 3 (Bin3)	27; 27;	Family	109	CL0063		PF06859.18
Binary_toxB	PF03495	Clostridial binary toxin B/anthrax toxin PA Ca-binding domain	25; 10;	Domain	78	CL0689		PF03495.19
Binary_toxB_2	PF17475	Clostridial binary toxin B/anthrax toxin PA domain 2	25; 25;	Domain	218			PF17475.7
Binary_toxB_3	PF17476	Clostridial binary toxin B/anthrax toxin PA domain 3	28.4; 28.4;	Domain	102			PF17476.7
Bindin	PF02084	Bindin	22; 22;	Family	238			PF02084.20
BING4CT	PF08149	BING4CT (NUC141) domain	23.7; 23.7;	Repeat	79	CL0186		PF08149.16
BioG	PF04301	Pimeloyl-ACP methyl esterase BioG	27; 27;	Family	213	CL0028		PF04301.19
Biopterin_H	PF00351	Biopterin-dependent aromatic amino acid hydroxylase	22.7; 22.7;	Domain	331			PF00351.26
BioT2	PF15368	Spermatogenesis family BioT2	27; 23.8;	Family	170			PF15368.11
Biotin_carb_C	PF02785	Biotin carboxylase C-terminal domain	32.4; 32.4;	Domain	108	CL0105		PF02785.25
Biotin_carb_N	PF00289	Biotin carboxylase, N-terminal domain	25.5; 24.5;	Domain	110	CL0063		PF00289.28
Biotin_lipoyl	PF00364	Biotin-requiring enzyme	22.1; 22.1;	Domain	73	CL0105		PF00364.28
Biotin_lipoyl_2	PF13533	Biotin-lipoyl like	29.8; 29.8;	Domain	32	CL0105		PF13533.13
BioW	PF03744	6-carboxyhexanoate--CoA ligase	25; 25;	Family	239			PF03744.18
BioY	PF02632	BioY family	25; 25;	Family	140	CL0315		PF02632.19
BipA_C	PF21018	TypA/BipA C-terminal domain	23.8; 23.8;	Domain	110			PF21018.2
BiPBP_C	PF06832	Penicillin-Binding Protein C-terminus Family	26.8; 26.8;	Family	90	CL0159		PF06832.18
BIR	PF00653	Inhibitor of Apoptosis domain	22.9; 22.9;	Domain	70	CL0417		PF00653.27
BIRC6	PF12356	Baculoviral IAP repeat-containing protein 6  	27; 27;	Family	163			PF12356.13
Birna_RdRp_C	PF20489	Birnavirus RNA dependent RNA polymerase (VP1), C-terminal	28; 28;	Domain	106			PF20489.3
Birna_RdRp_palm	PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	25; 25;	Domain	531	CL0027		PF04197.17
Birna_VP1_thumb	PF20488	Birnavirus RNA dependent RNA polymerase (VP1), thumb domain	25; 25;	Domain	167	CL0027		PF20488.3
Birna_VP2	PF01766	Birnavirus VP2 protein	27; 27;	Family	442	CL0055		PF01766.23
Birna_VP3	PF01767	Birnavirus VP3 protein	22; 22;	Family	227			PF01767.21
Birna_VP4	PF01768	Birnavirus VP4 protein	24; 24;	Family	259			PF01768.21
Birna_VP5	PF03042	Birnavirus VP5 protein	25; 25;	Family	139			PF03042.19
BIV_Env	PF05858	Bovine immunodeficiency virus surface protein (SU)	20.8; 20.8;	Family	548			PF05858.17
BKACE	PF05853	beta-keto acid cleavage enzyme	24.8; 24.8;	Domain	274	CL0036		PF05853.18
BKRF4	PF25695	Epstein-Barr virus BKRF4 histone binding protein	27; 27;	Family	218			PF25695.1
BK_channel_a	PF03493	Calcium-activated BK potassium channel alpha subunit	26.8; 26.8;	Family	90	CL0582		PF03493.23
bL31_N	PF21492	Ribosomal protein L31p, N-terminal	27; 27;	Domain	60	CL0758		PF21492.2
bL9m_N	PF25131	Large ribosomal subunit protein bL9m N-terminal domain	27.3; 27.3;	Domain	33			PF25131.1
BLACT_WH	PF17778	Beta-lactamase associated winged helix domain	22.8; 22.8;	Domain	46	CL0123		PF17778.7
BldD-like_C	PF21179	DNA-binding protein BldD-like, C-terminal domain	27; 27;	Domain	70	CL0123		PF21179.3
Ble-like_N	PF22677	Bleomycin resistance protein-like N-terminal	24.5; 24.5;	Domain	41	CL0104		PF22677.2
Bleomycin_resist_prot_dom	PF21629	Bleomycin resistance protein domain	27; 27;	Domain	63			PF21629.2
Bles03	PF08939	Basophilic leukemia-expressed protein Bles03	23.1; 23.1;	Domain	255	CL0625		PF08939.15
BLF1	PF17752	Burkholderia lethal factor 1	25; 25;	Family	213	CL0663		PF17752.6
BLH_phosphatase	PF04273	Beta-lactamase hydrolase-like protein, phosphatase-like domain	26.1; 26.1;	Domain	110	CL0031		PF04273.18
BLI1	PF17324	BLOC-1 interactor 1	26.9; 26.9;	Family	111			PF17324.7
BLIP	PF07467	Beta-lactamase inhibitor (BLIP)	26.7; 26.7;	Family	123	CL0320		PF07467.17
BLM10_N	PF16547	Proteasome-substrate-size regulator, N-terminal	27.2; 27.2;	Domain	81			PF16547.10
BLM_N	PF16202	N-terminal region of Bloom syndrome protein	27; 27;	Family	370			PF16202.10
Blo-t-5	PF11642	Mite allergen Blo t 5	24; 24;	Domain	119			PF11642.13
BLOC1S3	PF15753	Biogenesis of lysosome-related organelles complex 1 subunit 3	27; 27;	Family	172			PF15753.10
BLOC1_2	PF10046	Biogenesis of lysosome-related organelles complex-1 subunit 2 	33.4; 33.4;	Coiled-coil	96			PF10046.14
Blr_divisome	PF24673	Divisome-associated membrane protein Blr family	27; 27;	Family	41			PF24673.1
BLTP1_C	PF25040	BLTP1-like family C-terminal region	23; 23;	Repeat	1938	CL0760		PF25040.1
BLTP1_M	PF25039	BLTP1-like family middle region	27; 27;	Repeat	1483	CL0760		PF25039.1
BLTP1_N	PF20413	BLTP1-like family N-terminal region	100; 100;	Repeat	1119	CL0760		PF20413.5
BLTP3A_B	PF24917	Bridge-like lipid transfer protein family member 3A/B	24; 24;	Repeat	1429	CL0760		PF24917.1
BLUF	PF04940	Sensors of blue-light using FAD	25; 25;	Domain	92	CL0622		PF04940.18
BLYB	PF05289	Borrelia hemolysin accessory protein	25; 25;	Family	120			PF05289.16
BMC	PF00936	BMC domain	24.5; 24.5;	Domain	75			PF00936.24
bMERB_dom	PF12130	Bivalent Mical/EHBP Rab binding domain	24.6; 24.6;	Domain	134			PF12130.13
BMF	PF15185	Bcl-2-modifying factor, apoptosis	27; 27;	Family	227			PF15185.11
BMFP	PF04380	Membrane fusogenic activity	37.2; 37.2;	Family	77			PF04380.18
bMG1	PF17970	Bacterial Alpha-2-macroglobulin MG1 domain 	26.4; 26.4;	Domain	105	CL0159		PF17970.7
bMG10	PF17973	Bacterial Alpha-2-macroglobulin MG10 domain	26.2; 26.2;	Domain	131	CL0159		PF17973.7
bMG3	PF11974	Bacterial alpha-2-macroglobulin MG3 domain	34.9; 34.9;	Domain	103	CL0159		PF11974.14
bMG5	PF17972	Bacterial Alpha-2-macroglobulin MG5 domain	26.5; 26.5;	Domain	127	CL0159		PF17972.7
bMG6	PF17962	Bacterial macroglobulin domain 6	23; 23;	Domain	112	CL0159		PF17962.7
BmKX	PF09132	BmKX	24; 24;	Domain	30	CL0054		PF09132.16
Bmp	PF02608	ABC transporter substrate-binding protein PnrA-like	24.1; 24.1;	Family	301	CL0144		PF02608.20
BMP2K_C	PF15282	BMP-2-inducible protein kinase C-terminus	27; 27;	Family	263			PF15282.11
BMT	PF12141	Beta-mannosyltransferases	28.3; 28.3;	Family	486			PF12141.13
Bmt2	PF11968	25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2 	20; 20;	Family	221	CL0063		PF11968.14
BMT5-like	PF10354	rRNA (uridine-N3-)-methyltransferase BTM5-like	24.7; 24.7;	Domain	168	CL0063		PF10354.15
BNIP2	PF12496	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2	27; 27;	Family	137			PF12496.13
BNIP3	PF06553	BNIP3	26; 26;	Family	184			PF06553.17
BNLF2a	PF25740	EBV TAP inhibitor BNLF2a	27; 27;	Family	60			PF25740.1
BNR	PF02012	BNR/Asp-box repeat	27; 12.4;	Repeat	12	CL0186		PF02012.26
BNR_2	PF13088	BNR repeat-like domain	31.4; 31.4;	Repeat	277	CL0186		PF13088.12
BNR_3	PF13859	BNR repeat-like domain	27; 27;	Repeat	308	CL0186		PF13859.12
BNR_4	PF15892	BNR repeat-containing family member	27.3; 27.3;	Repeat	272	CL0186		PF15892.11
BNR_6	PF15899	BNR-Asp box repeat	27; 13;	Repeat	14	CL0186		PF15899.11
BNR_assoc_N	PF14873	N-terminal domain of BNR-repeat neuraminidase	25; 25;	Domain	153			PF14873.11
BNYVV_p31	PF04920	Beet necrotic yellow vein virus, p31	27; 27;	Family	76			PF04920.18
BNYVV_TGB3	PF06358	Beet necrotic yellow vein virus, movement protein TGB3	27; 27;	Family	111			PF06358.17
BOF	PF04076	Bacterial OB fold (BOF) protein	25.8; 25.8;	Domain	103	CL0021		PF04076.19
BofA	PF07441	SigmaK-factor processing regulatory protein BofA	26.1; 26.1;	Family	75			PF07441.16
BofC_C	PF08955	BofC C-terminal domain	21; 21;	Domain	74			PF08955.15
BOFC_N	PF08977	Bypass of Forespore C, N terminal	25; 25;	Domain	51			PF08977.15
BolA	PF01722	BolA-like protein	25.7; 25.7;	Family	76			PF01722.23
Bombesin	PF02044	Bombesin-like peptide	18.1; 18.1;	Family	14			PF02044.22
Bombinin	PF05298	Bombinin	21.4; 21.4;	Family	141			PF05298.16
Bombolitin	PF08096	Bombolitin family	25; 25;	Family	17			PF08096.16
BON	PF04972	BON domain	27; 16.5;	Domain	69	CL0778		PF04972.22
BON_like	PF21923	BON-like domain	24.1; 24.1;	Domain	47	CL0778		PF21923.1
BOP1NT	PF08145	BOP1NT (NUC169) domain	29.6; 29.6;	Domain	259			PF08145.17
BORA_N	PF15280	Protein aurora borealis N-terminus	27; 27;	Family	225			PF15280.11
BORCS6	PF10157	BLOC-1-related complex sub-unit 6 C-terminal helix	35; 35;	Family	101			PF10157.14
BORCS7	PF16088	BLOC-1-related complex sub-unit 7	27.3; 27.3;	Family	103			PF16088.10
BORCS8	PF10167	BLOC-1-related complex sub-unit 8	25; 25;	Family	112			PF10167.14
Borealin	PF10512	Cell division cycle-associated protein 8 	19.5; 19.5;	Family	118			PF10512.14
BORG_CEP	PF14957	Cdc42 effector	25; 25;	Family	128			PF14957.11
Borrelia_orfA	PF02414	Borrelia ORF-A	25.8; 25.8;	Family	288			PF02414.20
Borrelia_orfD	PF02999	Borrelia orf-D family	27; 27;	Family	100			PF02999.19
Borrelia_orfX	PF04160	Orf-X protein	25; 25;	Family	154			PF04160.17
Borrelia_P13	PF05628	Borrelia membrane protein P13	25; 25;	Family	138			PF05628.17
Borrelia_P83	PF05262	Borrelia P83/100 protein	33.6; 33.6;	Family	489			PF05262.16
Borrelia_REV	PF03978	Borrelia burgdorferi REV protein	27; 27;	Family	181			PF03978.18
Bot1p	PF12298	Eukaryotic mitochondrial regulator protein 	23; 23;	Family	172	CL0123		PF12298.14
Botulinum_HA-17	PF05588	Clostridium botulinum HA-17 domain	21; 21;	Domain	146	CL0066		PF05588.17
Bowman-Birk_leg	PF00228	Bowman-Birk serine protease inhibitor family	20.4; 20.4;	Domain	25			PF00228.25
BP28CT	PF08146	BP28CT (NUC211) domain	27; 27;	Domain	149			PF08146.17
BP74_N	PF23621	BP74 N-terminal domain	27; 27;	Domain	114			PF23621.1
BPA	PF10759	Bacterial proteasome activator	29.5; 29.5;	Family	161			PF10759.14
BPA_C	PF18040	beta porphyranase A C-terminal	26.2; 26.2;	Domain	95	CL0202		PF18040.7
BPD_transp_1	PF00528	Binding-protein-dependent transport system inner membrane component	26.4; 26.4;	Family	184	CL0404		PF00528.27
BPD_transp_1_N	PF19300	Binding-prot-dependent transport system membrane comp, N-term	23.8; 23.8;	Family	114			PF19300.4
BPD_transp_2	PF02653	Branched-chain amino acid transport system / permease component	26.8; 26.8;	Family	269	CL0142		PF02653.21
BphC_D1	PF22632	Dihydroxybiphenyl dioxygenase BphC D1 	27; 27;	Domain	51	CL0104		PF22632.2
BphX	PF06139	BphX-like	24.7; 24.7;	Family	133			PF06139.17
bPH_1	PF08000	Bacterial PH domain	27.7; 27.7;	Domain	122	CL0266		PF08000.17
bPH_10	PF23494	YqeB-like bacterial PH domain	27; 27;	Domain	151	CL0266		PF23494.1
bPH_11	PF25362	Bacterial PH domain-like	27; 27;	Domain	125	CL0266		PF25362.1
bPH_2	PF03703	Bacterial PH domain	22; 22;	Domain	78	CL0266		PF03703.20
bPH_3	PF14470	Bacterial PH domain	23; 16;	Domain	95	CL0266		PF14470.12
bPH_4	PF06713	Bacterial PH domain	22.9; 22.9;	Domain	74	CL0266		PF06713.17
bPH_5	PF10882	Bacterial PH domain	22.5; 22.5;	Domain	100	CL0266		PF10882.14
bPH_6	PF10756	Bacterial PH domain	22; 22;	Domain	73	CL0266		PF10756.15
bPH_7	PF20794	Bacterial PH domain	25; 25;	Domain	135	CL0266		PF20794.3
bPH_8	PF23491	SunI-like bacterial PH domain	27; 27;	Domain	82	CL0266		PF23491.1
bPH_9	PF23492	Bacterial PH domain	27; 27;	Domain	89	CL0266		PF23492.1
BPL_C	PF02237	Biotin protein ligase C terminal domain	21; 21;	Domain	48	CL0010		PF02237.23
BPL_LplA_LipB	PF03099	Biotin/lipoate A/B protein ligase family	21; 21;	Domain	133	CL0040		PF03099.24
BPL_LplA_LipB_2	PF16917	Biotin/lipoate A/B protein ligase family	27; 27;	Domain	183	CL0040		PF16917.10
BPL_N	PF09825	Biotin-protein ligase, N terminal	24.2; 24.2;	Domain	283	CL0014		PF09825.15
bpMoxR	PF20030	MoxR domain in the MoxR-vWA-beta-propeller ternary systems	27; 27;	Domain	205	CL0023		PF20030.5
BPP1_LPA	PF25716	Late promoter-activating protein	35; 35;	Family	131			PF25716.1
BppL_N	PF18338	Lower baseplate protein N-terminal domain	25.8; 25.8;	Repeat	25	CL0606		PF18338.7
BppU-like_C	PF21470	Minor structural protein 5-like, C-terminal domain	27; 27;	Domain	59			PF21470.2
BppU_IgG	PF18667	Baseplate upper protein immunoglobulin like domain	27; 27;	Domain	96			PF18667.6
BppU_N	PF10651	BppU N-terminal domain	23.1; 23.1;	Domain	142	CL0159		PF10651.15
BPS	PF08947	BPS (Between PH and SH2) 	27; 27;	Domain	48			PF08947.15
BPS1	PF03087	Protein BPS1	23.5; 23.5;	Family	238	CL0133		PF03087.19
BpsA_C	PF01861	Branched-chain polyamine synthase A C-terminal domain	27; 27;	Domain	243	CL0063		PF01861.22
BPTA	PF17044	Borrelial persistence in ticks protein A	27; 27;	Family	196			PF17044.10
BPTI_nem	PF25315	BPTI-like like domain	27; 27;	Domain	77	CL0894		PF25315.1
BpuJI_N	PF11564	Restriction endonuclease BpuJI - N terminal	25; 25;	Family	278	CL0236		PF11564.14
BpuSI_N	PF15516	BpuSI N-terminal domain	25; 25;	Domain	152	CL0236		PF15516.12
BpuSI_TRD	PF22008	Restriction endonuclease BpuSI, specificity domain	27; 27;	Domain	241	CL0477		PF22008.2
bpX0	PF19915	MoxR-vWA-beta-propeller ternary system domain bpX0	27; 27;	Family	161			PF19915.4
bpX1	PF19917	MoxR-vWA-beta-propeller ternary system domain bpX1	27; 27;	Family	82			PF19917.4
bpX2	PF19918	MoxR-vWA-beta-propeller ternary system domain bpX2	23.6; 23.6;	Family	227			PF19918.4
bpX3	PF19919	MoxR-vWA-beta-propeller ternary system domain bpX3	27; 27;	Domain	174			PF19919.4
bpX4	PF19920	MoxR-vWA-beta-propeller ternary system domain bpX4	27; 27;	Domain	202			PF19920.4
bpX5	PF19921	MoxR-vWA-beta-propeller ternary system domain bpX5	27; 27;	Domain	135			PF19921.4
bpX6	PF19922	MoxR-vWA-beta-propeller ternary system domain bpX6	27; 27;	Domain	170			PF19922.4
Bradykinin	PF06753	Bradykinin	20.7; 20.7;	Family	19			PF06753.17
Branch	PF02485	Core-2/I-Branching enzyme	23.4; 23.4;	Family	250	CL0110		PF02485.27
Branch_AA_trans	PF05525	Branched-chain amino acid transport protein	22.3; 22.3;	Family	429	CL0062		PF05525.19
BRAP2	PF07576	BRCA1-associated protein 2	22; 22;	Family	99	CL0221		PF07576.18
Bravo_FIGEY	PF13882	Bravo-like intracellular region	23.8; 23.8;	Domain	86			PF13882.11
BRCA-2_helical	PF09169	BRCA2, helical	25; 25;	Domain	187			PF09169.15
BRCA-2_OB1	PF09103	BRCA2, oligonucleotide/oligosaccharide-binding, domain 1	25.6; 25.6;	Domain	123	CL0021		PF09103.16
BRCA-2_OB3	PF09104	BRCA2, oligonucleotide/oligosaccharide-binding, domain 3	24; 24;	Domain	139	CL0021		PF09104.16
BRCA2	PF00634	BRCA2 repeat	20.3; 20.3;	Family	29			PF00634.23
BRCA2DBD_OB2	PF21318	BRCA2, OB2	27; 27;	Domain	66	CL0021		PF21318.3
BRCA2_TR2	PF22687	BRCA2 TR2 domain	27; 27;	Domain	77			PF22687.1
BRCC36_C	PF18110	BRCC36 C-terminal helical domain	23.1; 23.1;	Domain	81			PF18110.6
BRCT	PF00533	BRCA1 C Terminus (BRCT) domain	21.3; 21.3;	Domain	78	CL0459		PF00533.33
BRCT_2	PF16589	BRCT domain	27.3; 27.3;	Domain	86	CL0459		PF16589.12
BRCT_3	PF18428	BRCA1 C Terminus (BRCT) domain	26.1; 26.1;	Domain	102	CL0459		PF18428.7
BRCT_assoc	PF12820	Serine-rich domain associated with BRCT	27; 27;	Domain	164			PF12820.12
BRCT_TopB1_SLF1	PF23294	TopBP1/SLF1, BRCT domain	27; 27;	Domain	90	CL0459		PF23294.1
BRD4_CDT	PF17105	C-terminal domain of bromodomain protein 4	27; 27;	Family	44			PF17105.10
BRE	PF06113	Brain and reproductive organ-expressed protein (BRE)	25.8; 25.8;	Family	320			PF06113.17
BRE1	PF08647	BRE1 E3 ubiquitin ligase	27.9; 27.9;	Coiled-coil	95			PF08647.16
BRE4	PF10334	Brefeldin A-sensitivity protein 4-like domain	25.7; 25.7;	Domain	228	CL0307		PF10334.16
BREX_BrxC_4th	PF25796	BREX ATP-binding protein BrxC 4th domain with six-stranded beta sheet	27; 27;	Domain	173			PF25796.1
BREX_BrxC_helical	PF25792	BREX ATP-binding protein BrxC alpha helical domain	27; 27;	Domain	123			PF25792.1
BREX_BrxC_wHTH	PF25791	BREX ATP-binding protein BrxC winged helix-turn-helix domain	27; 27;	Domain	126			PF25791.1
BRF1	PF07741	Brf1-like TBP-binding domain	25; 25;	Domain	99			PF07741.18
BRF2-like_C_cyclin_rpt	PF21886	BRF2-like, C-terminal cyclin repeat	27; 27;	Repeat	138	CL0065		PF21886.1
BRI3	PF10164	Brain protein I3	25.9; 25.9;	Family	106			PF10164.14
BRI3BP	PF14965	Negative regulator of p53/TP53	27; 27;	Family	179			PF14965.11
BRICHOS	PF04089	BRICHOS domain	25; 25;	Domain	91	CL0814		PF04089.19
BRINP	PF19052	BMP/retinoic acid-inducible neural-specific protein	27; 27;	Family	448			PF19052.5
BRISC_FAM175B_helical	PF22299	BRISC complex subunit FAM175B, helical domain	27; 27;	Domain	62			PF22299.1
Brix	PF04427	Brix domain	28.2; 28.2;	Domain	193	CL0458		PF04427.23
BRK	PF07533	BRK domain	23; 23;	Domain	44			PF07533.21
BrkDBD	PF09607	Brinker DNA-binding domain	23.4; 23.4;	Domain	58	CL0123		PF09607.16
Brme1	PF15710	Break repair meiotic recombinase recruitment factor 1	27; 27;	Disordered	699			PF15710.10
BrnA_antitoxin	PF14384	BrnA antitoxin of type II toxin-antitoxin system	26.1; 26.1;	Domain	68	CL0057		PF14384.12
BrnT_toxin	PF04365	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system	34.5; 34.5;	Domain	77	CL0136		PF04365.19
Bro-N	PF02498	BRO family, N-terminal domain	25.6; 25.6;	Family	96			PF02498.22
BRO1	PF03097	BRO1-like domain	35.1; 35.1;	Repeat	385	CL0020		PF03097.24
BROMI	PF14961	Broad-minded protein central region	25; 25;	Repeat	681			PF14961.12
BROMI_C	PF23440	Broad-minded protein Rab TBC domain	25; 25;	Domain	432	CL0816		PF23440.1
BROMI_N	PF23431	Broad-minded protein N-terminal domain	25; 25;	Domain	127			PF23431.1
Bromodomain	PF00439	Bromodomain	21.7; 21.7;	Domain	84			PF00439.30
Bromo_coat	PF01318	Bromovirus coat protein	27; 27;	Domain	189	CL0055		PF01318.25
Bromo_MP	PF01573	Bromovirus movement protein	25; 25;	Family	283	CL0571		PF01573.21
Bromo_TP	PF07524	Bromodomain associated	24.6; 24.6;	Domain	77	CL0012		PF07524.19
Bromo_TP_like	PF17027	Histone-fold protein	21; 21;	Domain	119	CL0012		PF17027.11
BRR2_plug	PF21188	Pre-mRNA-splicing helicase BRR2 plug domain	25; 25;	Domain	69			PF21188.2
Brr6_like_C_C	PF10104	Di-sulfide bridge nucleocytoplasmic transport domain	25; 25;	Family	133			PF10104.14
Brucella_OMP2	PF05244	Brucella outer membrane protein 2	20.3; 20.3;	Family	240			PF05244.16
BRWD1_N	PF25437	BRWD1-like, N-terminal domain	27; 27;	Domain	90			PF25437.1
BRWD_AD	PF25313	BRWD/PHIP ancillary domain-like domain	40; 40;	Domain	72	CL0893		PF25313.1
BRX	PF08381	Transcription factor regulating root and shoot growth via Pin3	24.5; 24.5;	Domain	56			PF08381.16
BrxA	PF08849	BrxA	23; 23;	Family	184	CL0123		PF08849.17
BrxB	PF08747	BREX protein BrxB	26.8; 26.8;	Domain	124			PF08747.16
BrxC	PF11009	Monothiol bacilliredoxin BrxC	24.2; 24.2;	Family	102	CL0172		PF11009.14
BrxC_BrxD	PF10923	BREX system ATP-binding protein BrxC/D	22.2; 22.2;	Domain	414	CL0023		PF10923.14
BrxL_ATPase	PF13337	Lon-like protease BrxL-like, ATPase domain	25; 25;	Domain	313	CL0023		PF13337.12
BrxL_N	PF20442	BREX system Lon protease-like protein BrxL N-terminal	28.2; 28.2;	Domain	132			PF20442.3
BRX_assoc	PF16627	Unstructured region between BRX_N and BRX domain	27; 27;	Disordered	70			PF16627.10
BRX_N	PF13713	Transcription factor BRX N-terminal domain	24.5; 24.5;	Domain	37			PF13713.11
BscB_a-b	PF20916	Cellulose Synthase Subunit B, alpha-beta domain	23.7; 23.7;	Domain	135			PF20916.2
BSD	PF03909	BSD domain  	24.6; 24.6;	Domain	58			PF03909.22
BSD2_CRD	PF25436	BSD2 cysteine rich domain	27; 27;	Domain	69	CL0895		PF25436.1
Bse634I	PF07832	Cfr10I/Bse634I restriction endonuclease	27; 27;	Domain	281	CL0236		PF07832.17
BslA	PF17735	Biofilm surface layer A	38.7; 38.7;	Family	121	CL0159		PF17735.7
BSMAP	PF12280	Brain specific membrane anchored protein	25; 25;	Family	197			PF12280.13
BsNagA_N	PF22644	BsNagA composite domain	27.4; 27.4;	Domain	50	CL0036		PF22644.2
BSP	PF04450	Peptidase of plants and bacteria	23.8; 23.8;	Family	207	CL0126		PF04450.18
BspA_v	PF18220	Adhesin BspA variable domain	25; 25;	Domain	150			PF18220.6
BSP_II	PF05432	Bone sialoprotein II (BSP-II)	25.1; 25.1;	Family	299			PF05432.16
BssB_TutG	PF18512	Benzylsuccinate synthase beta subunit	25.6; 25.6;	Domain	66			PF18512.6
BssC_TutF	PF08201	BssC/TutF protein	25; 25;	Family	56			PF08201.16
BssS	PF13991	BssS protein family	27; 27;	Family	72			PF13991.11
BST2	PF16716	Bone marrow stromal antigen 2	27; 27;	Domain	91			PF16716.10
BsuBI_PstI_RE	PF06616	BsuBI/PstI restriction endonuclease domain	27; 27;	Domain	154	CL0236		PF06616.17
BsuBI_PstI_RE_N	PF17728	BsuBI/PstI restriction endonuclease HTH domain	27; 27;	Domain	140	CL0123		PF17728.7
BsuPI	PF12690	Intracellular proteinase inhibitor	22.9; 22.9;	Domain	101	CL0159		PF12690.13
BT1	PF03092	BT1 family	22; 22;	Family	432	CL0015		PF03092.22
BT4734-like_N	PF08800	BT4734-like, N-terminal domain	22.4; 22.4;	Domain	134			PF08800.15
BTAD	PF03704	Bacterial transcriptional activator domain	22.1; 22.1;	Repeat	146	CL0020		PF03704.23
BTB	PF00651	BTB/POZ domain	20.5; 20.5;	Domain	110	CL0033		PF00651.37
BTB-POZ_ANK-like	PF25553	BTB/POZ Ankyrin-like repeat	27; 27;	Repeat	246	CL0465		PF25553.1
BTBD16_C	PF21059	BTB/POZ domain-containing protein 16, C-terminal domain	27; 27;	Domain	106	CL0389		PF21059.3
BTBD8_C	PF15363	BTB/POZ domain-containing protein 8, C-terminal	27; 27;	Domain	46			PF15363.11
BTB_2	PF02214	BTB/POZ domain	21.4; 21.4;	Domain	94	CL0033		PF02214.28
BTB_3	PF16017	BTB/POZ domain	22.3; 22.3;	Domain	106	CL0033		PF16017.11
BTB_BTBDG	PF23998	BTBDG BTB/POZ domain	27.9; 27.9;	Domain	122	CL0033		PF23998.1
BTB_KLHL33	PF21536	Kelch-like protein 33-like, BTB/POZ domain	27; 27;	Domain	63	CL0033		PF21536.4
BTB_SANBR	PF11822	SANT and BTB domain regulator of CSR, BTB domain	26; 26;	Domain	97	CL0033		PF11822.15
BTD	PF09270	Beta-trefoil DNA-binding domain	25; 25;	Domain	123	CL0066		PF09270.16
BTG	PF07742	BTG family	23; 23;	Family	117			PF07742.17
BTHB	PF18410	Basic tilted helix bundle domain	25.6; 25.6;	Domain	72	CL0306		PF18410.7
BTH_I2711-like	PF21627	Uncharacterized protein BTH_I2711-like	27; 27;	Family	71			PF21627.2
BTK	PF00779	BTK motif	24; 24;	Motif	30			PF00779.24
BTP	PF05232	Chlorhexidine efflux transporter	25.6; 25.6;	Family	64			PF05232.17
BtpA	PF03437	BtpA family	30; 30;	Family	254	CL0036		PF03437.21
BTRD1	PF17660	Polyglycine hydrolase-like, structural repeat	23; 10;	Repeat	50			PF17660.6
BtrH_N	PF14399	Butirosin biosynthesis protein H, N-terminal	29.7; 29.7;	Family	134	CL0125		PF14399.12
